"filename", "language", "TypeScript", "JSON", "JSON with Comments", "Markdown", "MS SQL", "JavaScript", "HTML", "Docker", "Ignore", "PostCSS", "Shell Script", "YAML", "TypeScript JSX", "XML", "comment", "blank", "total"
"d:\github\NODE-JS\work\periodtracker\app\src\config\env.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 14
"d:\github\NODE-JS\work\periodtracker\app\src\config\options.ts", "TypeScript", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9, 40
"d:\github\NODE-JS\work\periodtracker\app\src\config\theme.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 19
"d:\github\NODE-JS\work\periodtracker\app\src\contexts\AuthContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 8, 40
"d:\github\NODE-JS\work\periodtracker\app\src\contexts\AvatarMessageContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 0, 2, 16, 80
"d:\github\NODE-JS\work\periodtracker\app\src\contexts\LoadingProvider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 68, 0, 0, 13, 81
"d:\github\NODE-JS\work\periodtracker\app\src\contexts\PredictionProvider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 182, 0, 18, 42, 242
"d:\github\NODE-JS\work\periodtracker\app\src\contexts\ResponsiveContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 11, 57
"d:\github\NODE-JS\work\periodtracker\app\src\contexts\SoundProvider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 7, 30
"d:\github\NODE-JS\work\periodtracker\app\src\core\api\index.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\github\NODE-JS\work\periodtracker\app\src\core\api\types.ts", "TypeScript", 153, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17, 174
"d:\github\NODE-JS\work\periodtracker\app\src\core\types\assets.ts", "TypeScript", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 38
"d:\github\NODE-JS\work\periodtracker\app\src\core\types\index.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"d:\github\NODE-JS\work\periodtracker\app\src\core\types\translations\app.ts", "TypeScript", 313, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 14, 346
"d:\github\NODE-JS\work\periodtracker\app\src\core\types\translations\calendar.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"d:\github\NODE-JS\work\periodtracker\app\src\core\types\translations\content.ts", "TypeScript", 211, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 26, 244
